lid,zd,vdatum,lat,lon,elev
KDEA2,,,57.792222222222,152.39666666667,0
KDIA2,,,52.646111111111,155.00305555556,0
KDKA2,30,NGVD29,57.694722,153.161667,30
KDTA2,,,57.793888888889,152.38805555556,0
KDYA2,,,58,150,0
KENA2,,,60.669444444444,151.3225,130
KEYA2,184,NGVD29,60.481389,150.626111,194
KGSA2,10,NGVD29,58.695277777778,156.69888888889,50
KIGA2,45,,59.328888888889,155.89916666667,45
KILA2,,,60.322222222222,160.18777777778,1928
KIYA2,0,,60.458333333333,150.65,190
KKPA2,,,61.166666666667,150.03333333333,250
KKTA2,,NGVD29,59.843056,155.716389,613
KLAA2,,,62.216666666667,144.995,2531
KLCA2,250,NGVD29,62.051944,156.210556,250
KLUA2,1010,,61.952222,145.306944,1010
KMPA2,,,60.733333333333,150.48333333333,300
KNAA2,,,60.591666666667,150.29583333333,462
KNGA2,0,,61.618055555556,149.36777777778,472
KNHA2,0,,60.579166666667,146.83444444444,0
KNKA2,30.2,NGVD29,61.505,149.030556,30.2
KNLA2,,,60.410277777778,149.36694444444,470
KNSA2,,,60.666666666667,149.48333333333,1390
KOKA2,0,,56.288055555556,148.17944444444,0
KOWA2,380,,62.128889,150.438889,380
KRAA2,75,NGVD29,61.587222222222,159.54833333333,75
KRKA2,230,NGVD29,60.491111,150.630556,230
KRWA2,,,61.925864,150.073075,195
KSFA2,,,60.318056,151.259722,0
KSKA2,,,59.338333,156.075278,50
KSTA2,,,61.924444444444,150.06944444444,0
MRVA2,,,60.531666666667,150.69611111111,300
KTIA2,,NGVD29,59.793333,155.5225,775
KULA2,,,59.038889,159.775833,0
LAGA2,,,56.3075,158.53916666667,20
